Year,District,Crime_Type,Count
2014,강남구,강도,37
2014,강남구,살인,13
2014,강남구,성폭력,512
2014,강남구,절도,3895
2014,강남구,폭력,4394
2014,강동구,강도,10
2014,강동구,살인,5
2014,강동구,성폭력,148
2014,강동구,절도,2425
2014,강동구,폭력,2804
2014,강북구,강도,21
2014,강북구,살인,6
2014,강북구,성폭력,189
2014,강북구,절도,1494
2014,강북구,폭력,2320
2014,강서구,강도,9
2014,강서구,살인,8
2014,강서구,성폭력,214
2014,강서구,절도,2341
2014,강서구,폭력,2717
2014,관악구,강도,25
2014,관악구,살인,7
2014,관악구,성폭력,361
2014,관악구,절도,3029
2014,관악구,폭력,3359
2014,광진구,강도,16
2014,광진구,살인,8
2014,광진구,성폭력,249
2014,광진구,절도,3167
2014,광진구,폭력,2828
2014,구로구,강도,14
2014,구로구,살인,3
2014,구로구,성폭력,252
2014,구로구,절도,2377
2014,구로구,폭력,2743
2014,금천구,강도,9
2014,금천구,살인,7
2014,금천구,성폭력,162
2014,금천구,절도,1552
2014,금천구,폭력,2112
2014,노원구,강도,8
2014,노원구,살인,5
2014,노원구,성폭력,173
2014,노원구,절도,2404
2014,노원구,폭력,2722
2014,도봉구,강도,11
2014,도봉구,살인,6
2014,도봉구,성폭력,172
2014,도봉구,절도,1350
2014,도봉구,폭력,1585
2014,동대문구,강도,13
2014,동대문구,살인,12
2014,동대문구,성폭력,141
2014,동대문구,절도,1809
2014,동대문구,폭력,2388
2014,동작구,강도,9
2014,동작구,살인,2
2014,동작구,성폭력,203
2014,동작구,절도,1787
2014,동작구,폭력,1868
2014,마포구,강도,22
2014,마포구,살인,4
2014,마포구,성폭력,265
2014,마포구,절도,2763
2014,마포구,폭력,2686
2014,서대문구,강도,4
2014,서대문구,살인,3
2014,서대문구,성폭력,185
2014,서대문구,절도,1883
2014,서대문구,폭력,2119
2014,서초구,강도,14
2014,서초구,살인,6
2014,서초구,성폭력,285
2014,서초구,절도,2747
2014,서초구,폭력,2506
2014,성동구,강도,5
2014,성동구,살인,1
2014,성동구,성폭력,141
2014,성동구,절도,1753
2014,성동구,폭력,1682
2014,성북구,강도,16
2014,성북구,살인,8
2014,성북구,성폭력,165
2014,성북구,절도,2130
2014,성북구,폭력,2287
2014,송파구,강도,9
2014,송파구,살인,9
2014,송파구,성폭력,255
2014,송파구,절도,4199
2014,송파구,폭력,3532
2014,양천구,강도,11
2014,양천구,살인,5
2014,양천구,성폭력,129
2014,양천구,절도,2058
2014,양천구,폭력,2439
2014,영등포구,강도,10
2014,영등포구,살인,14
2014,영등포구,성폭력,250
2014,영등포구,절도,3080
2014,영등포구,폭력,3649
2014,용산구,강도,7
2014,용산구,살인,1
2014,용산구,성폭력,213
2014,용산구,절도,1560
2014,용산구,폭력,2018
2014,은평구,강도,24
2014,은평구,살인,5
2014,은평구,성폭력,188
2014,은평구,절도,2352
2014,은평구,폭력,2862
2014,종로구,강도,12
2014,종로구,살인,3
2014,종로구,성폭력,226
2014,종로구,절도,2272
2014,종로구,폭력,2508
2014,중구,강도,13
2014,중구,살인,6
2014,중구,성폭력,221
2014,중구,절도,2576
2014,중구,폭력,2415
2014,중랑구,강도,14
2014,중랑구,살인,11
2014,중랑구,성폭력,163
2014,중랑구,절도,2390
2014,중랑구,폭력,2775
2015,강남구,강도,21
2015,강남구,살인,13
2015,강남구,성폭력,449
2015,강남구,절도,3850
2015,강남구,폭력,4284
2015,강동구,강도,6
2015,강동구,살인,4
2015,강동구,성폭력,156
2015,강동구,절도,2366
2015,강동구,폭력,2712
2015,강북구,강도,14
2015,강북구,살인,7
2015,강북구,성폭력,153
2015,강북구,절도,1434
2015,강북구,폭력,2649
2015,강서구,강도,13
2015,강서구,살인,7
2015,강서구,성폭력,262
2015,강서구,절도,2096
2015,강서구,폭력,3207
2015,관악구,강도,12
2015,관악구,살인,9
2015,관악구,성폭력,320
2015,관악구,절도,2706
2015,관악구,폭력,3298
2015,광진구,강도,14
2015,광진구,살인,4
2015,광진구,성폭력,240
2015,광진구,절도,3026
2015,광진구,폭력,2625
2015,구로구,강도,15
2015,구로구,살인,8
2015,구로구,성폭력,281
2015,구로구,절도,2335
2015,구로구,폭력,3007
2015,금천구,강도,6
2015,금천구,살인,3
2015,금천구,성폭력,151
2015,금천구,절도,1567
2015,금천구,폭력,2054
2015,노원구,강도,7
2015,노원구,살인,10
2015,노원구,성폭력,197
2015,노원구,절도,2193
2015,노원구,폭력,2723
2015,도봉구,강도,9
2015,도봉구,살인,3
2015,도봉구,성폭력,102
2015,도봉구,절도,1063
2015,도봉구,폭력,1487
2015,동대문구,강도,13
2015,동대문구,살인,5
2015,동대문구,성폭력,173
2015,동대문구,절도,1981
2015,동대문구,폭력,2548
2015,동작구,강도,9
2015,동작구,살인,5
2015,동작구,성폭력,285
2015,동작구,절도,1865
2015,동작구,폭력,1910
2015,마포구,강도,14
2015,마포구,살인,8
2015,마포구,성폭력,294
2015,마포구,절도,2555
2015,마포구,폭력,2983
2015,서대문구,강도,5
2015,서대문구,살인,2
2015,서대문구,성폭력,154
2015,서대문구,절도,1812
2015,서대문구,폭력,2056
2015,서초구,강도,9
2015,서초구,살인,8
2015,서초구,성폭력,393
2015,서초구,절도,2635
2015,서초구,폭력,2399
2015,성동구,강도,9
2015,성동구,살인,4
2015,성동구,성폭력,126
2015,성동구,절도,1607
2015,성동구,폭력,1612
2015,성북구,강도,5
2015,성북구,살인,5
2015,성북구,성폭력,150
2015,성북구,절도,1785
2015,성북구,폭력,2209
2015,송파구,강도,13
2015,송파구,살인,11
2015,송파구,성폭력,220
2015,송파구,절도,3239
2015,송파구,폭력,3295
2015,양천구,강도,6
2015,양천구,살인,3
2015,양천구,성폭력,120
2015,양천구,절도,1890
2015,양천구,폭력,2509
2015,영등포구,강도,22
2015,영등포구,살인,14
2015,영등포구,성폭력,295
2015,영등포구,절도,2964
2015,영등포구,폭력,3572
2015,용산구,강도,14
2015,용산구,살인,5
2015,용산구,성폭력,194
2015,용산구,절도,1557
2015,용산구,폭력,2050
2015,은평구,강도,9
2015,은평구,살인,3
2015,은평구,성폭력,166
2015,은평구,절도,1914
2015,은평구,폭력,2653
2015,종로구,강도,11
2015,종로구,살인,6
2015,종로구,성폭력,211
2015,종로구,절도,2184
2015,종로구,폭력,2293
2015,중구,강도,9
2015,중구,살인,3
2015,중구,성폭력,170
2015,중구,절도,2548
2015,중구,폭력,2224
2015,중랑구,강도,11
2015,중랑구,살인,13
2015,중랑구,성폭력,187
2015,중랑구,절도,2135
2015,중랑구,폭력,2847
2016,강남구,강도,39
2016,강남구,살인,5
2016,강남구,성폭력,516
2016,강남구,절도,3587
2016,강남구,폭력,4002
2016,강동구,강도,14
2016,강동구,살인,4
2016,강동구,성폭력,160
2016,강동구,절도,1754
2016,강동구,폭력,2530
2016,강북구,강도,5
2016,강북구,살인,7
2016,강북구,성폭력,217
2016,강북구,절도,1222
2016,강북구,폭력,2778
2016,강서구,강도,10
2016,강서구,살인,9
2016,강서구,성폭력,275
2016,강서구,절도,1952
2016,강서구,폭력,3204
2016,관악구,강도,12
2016,관악구,살인,6
2016,관악구,성폭력,322
2016,관악구,절도,2103
2016,관악구,폭력,3235
2016,광진구,강도,11
2016,광진구,살인,4
2016,광진구,성폭력,279
2016,광진구,절도,2636
2016,광진구,폭력,2392
2016,구로구,강도,10
2016,구로구,살인,9
2016,구로구,성폭력,273
2016,구로구,절도,1910
2016,구로구,폭력,3164
2016,금천구,강도,7
2016,금천구,살인,6
2016,금천구,성폭력,175
2016,금천구,절도,1264
2016,금천구,폭력,2193
2016,노원구,강도,6
2016,노원구,살인,5
2016,노원구,성폭력,159
2016,노원구,절도,1857
2016,노원구,폭력,2516
2016,도봉구,강도,5
2016,도봉구,살인,3
2016,도봉구,성폭력,123
2016,도봉구,절도,866
2016,도봉구,폭력,1441
2016,동대문구,강도,10
2016,동대문구,살인,5
2016,동대문구,성폭력,190
2016,동대문구,절도,1940
2016,동대문구,폭력,2642
2016,동작구,강도,7
2016,동작구,살인,8
2016,동작구,성폭력,325
2016,동작구,절도,1226
2016,동작구,폭력,1661
2016,마포구,강도,4
2016,마포구,살인,4
2016,마포구,성폭력,399
2016,마포구,절도,2527
2016,마포구,폭력,2939
2016,서대문구,강도,5
2016,서대문구,살인,6
2016,서대문구,성폭력,175
2016,서대문구,절도,1503
2016,서대문구,폭력,1976
2016,서초구,강도,13
2016,서초구,살인,5
2016,서초구,성폭력,428
2016,서초구,절도,2205
2016,서초구,폭력,2338
2016,성동구,강도,3
2016,성동구,살인,4
2016,성동구,성폭력,104
2016,성동구,절도,1296
2016,성동구,폭력,1619
2016,성북구,강도,8
2016,성북구,살인,4
2016,성북구,성폭력,154
2016,성북구,절도,1470
2016,성북구,폭력,2108
2016,송파구,강도,15
2016,송파구,살인,9
2016,송파구,성폭력,234
2016,송파구,절도,2543
2016,송파구,폭력,3289
2016,양천구,강도,7
2016,양천구,살인,5
2016,양천구,성폭력,131
2016,양천구,절도,1719
2016,양천구,폭력,2250
2016,영등포구,강도,19
2016,영등포구,살인,13
2016,영등포구,성폭력,356
2016,영등포구,절도,2341
2016,영등포구,폭력,3593
2016,용산구,강도,9
2016,용산구,살인,4
2016,용산구,성폭력,251
2016,용산구,절도,1489
2016,용산구,폭력,2384
2016,은평구,강도,9
2016,은평구,살인,6
2016,은평구,성폭력,156
2016,은평구,절도,1666
2016,은평구,폭력,2664
2016,종로구,강도,12
2016,종로구,살인,6
2016,종로구,성폭력,238
2016,종로구,절도,1940
2016,종로구,폭력,2263
2016,중구,강도,8
2016,중구,살인,3
2016,중구,성폭력,198
